,ALLIANCE,CUES,DRG4Food,EFF-CoP,FishEUTrust,FOODGUARD,Infoodmation,ROSETTA,Sea2See,TealHelix,THEROS,TITAN,WATSON
MIGROS TICARET ANONI,1,0,0,0,0,0,0,0,0,0,0,0,1
CONSEJERIA DE MEDIO URIAS,1,0,0,0,0,0,0,0,0,0,0,0,1
Biotechnicon,1,0,0,0,0,0,0,0,0,0,0,0,0
ASSOCIATION OF PRODUERBIA   ORIGINAL SRBIJA,1,0,0,0,0,0,0,0,0,0,0,0,0
MENA GROUP,1,0,0,0,0,0,0,0,0,0,0,0,0
THE WORLD BEE PROJEC,1,0,0,0,0,0,0,0,0,0,0,0,0
DIAMANTIS MASOUTIS A,1,0,0,0,0,0,0,0,0,0,0,0,0
LGL,1,0,0,0,0,0,0,0,0,0,0,0,1
ASINCAR,1,0,0,0,0,1,0,0,0,0,0,0,1
THE LISBON COUNCIL,1,0,0,0,0,0,0,0,0,0,0,0,1
RMS 001 DOO,1,0,0,0,0,0,0,0,0,0,0,0,0
Wisefour Innovation ,1,0,0,0,0,0,0,0,0,0,0,0,0
EUROFIR AISBL,1,0,0,0,1,0,0,0,0,0,0,0,1
CIA UMBRIA,1,0,0,0,0,0,0,0,0,0,0,0,0
ALCE NERO SPA,1,0,0,0,0,0,0,0,0,0,0,0,0
SVEUCILISTE U ZAGREB,1,1,0,0,0,0,0,0,0,0,0,0,0
UNIBO,1,0,0,0,1,0,0,0,0,0,0,0,0
CIHEAM,1,0,0,0,0,0,0,0,0,0,0,0,0
UDRUGA PROIZVODACA L,1,0,0,0,0,0,0,0,0,0,0,0,0
UNIVERSITY OF THESSA,1,0,0,0,0,0,0,0,0,0,0,0,0
INSTITUTE FOR FOOD T,1,0,0,0,0,0,0,0,0,0,0,0,0
CONSEJO REGULADOR IN,1,0,0,0,0,0,0,0,0,0,0,0,0
NETCOMPANY S.A.,1,0,0,0,0,1,0,0,0,0,0,0,1
FEDERBIO SERVIZI SRL,1,0,0,0,0,0,0,0,0,0,0,0,0
HELLENIC DAIRIES SOC,1,0,0,0,0,0,0,0,0,0,0,0,0
BIOCOS,1,0,0,0,0,0,0,0,0,0,0,0,1
AURIGEN MEDICAL LIMI,1,0,0,0,0,0,0,0,0,0,0,0,0
NIBIO,1,0,0,0,0,0,0,0,0,0,0,0,0
BiotechOne,1,0,0,0,0,0,0,0,0,0,0,0,0
Nogne O Det Kompromi,1,0,0,0,0,0,0,0,0,0,0,0,0
INSTITUTO SUPERIOR D,1,0,0,0,0,0,0,0,0,0,0,0,0
ALLER AQUA GROUP AS,1,0,0,0,0,0,0,0,0,0,0,0,0
SPAROS LDA,1,0,0,0,0,0,0,0,0,0,0,0,0
"SYSPRO AUTOMATION, S",1,0,0,0,0,0,0,0,0,0,0,0,0
FERMENTALG SA,1,0,0,0,0,0,0,0,0,0,0,0,0
SDU,1,0,0,0,0,0,0,0,0,0,0,0,0
IRTA - CERCA,1,0,0,0,0,0,0,0,0,0,0,0,0
GREENCOLAB,1,0,0,0,0,0,0,0,0,0,0,0,0
Mewery s.r.o.,1,0,0,0,0,0,0,0,0,0,0,0,0
UNIVERSIDAD DE ALMER,1,0,0,0,0,0,0,0,0,0,0,0,0
ALLMICROALGAE NATURA,1,0,0,0,0,0,0,0,0,0,0,0,0
NORWEGIAN INSTITUTE ,1,0,0,0,0,0,0,0,0,0,0,0,0
WU,1,1,0,1,0,0,1,0,0,0,0,1,0
EUROPEAN SCIENCE COM,1,0,0,0,0,0,0,0,0,0,0,0,0
UCA,1,0,0,0,0,0,0,0,0,0,0,0,0
SUBMARINER NETWORK F,1,0,0,0,0,0,0,0,0,0,0,0,0
ASOCIACION DE USUARI,0,1,0,0,0,0,0,0,0,0,0,0,0
Q-PLAN INTERNATIONAL,0,1,0,0,0,0,0,1,0,0,0,0,0
TCA,0,1,0,0,0,0,0,0,0,0,0,0,0
FINT,0,1,0,0,0,0,0,0,0,0,0,0,0
NATIONAL UNION FOR R,0,1,0,0,0,0,0,0,0,0,0,0,0
EIT FOOD,0,1,0,0,0,0,0,0,0,0,0,0,0
UVEG,0,1,0,0,0,0,0,0,0,0,0,0,0
TUDATOS VASARLOK EGY,0,1,0,0,0,0,0,0,0,0,0,0,0
LOKI FOODS EHF,0,1,0,0,0,0,0,0,0,0,0,0,0
OPENDOT SRL,0,1,0,0,0,0,0,0,0,0,0,0,0
CONSUMERS PROTECTION,0,1,0,0,0,0,0,0,0,0,0,0,0
FEDERACAO PORTUGUESA,0,1,0,0,0,0,0,0,0,0,0,0,0
UKHD,0,1,0,0,0,0,0,0,0,0,0,0,0
EUR,0,1,0,0,0,0,0,0,0,0,0,0,0
ICLEI EURO,0,1,0,0,0,0,1,0,0,0,0,0,0
TU/e,0,1,0,0,0,0,0,0,0,0,0,0,0
EUROPEAN FOOTBALLFOR,0,1,0,0,0,0,0,0,0,0,0,0,0
KU Leuven,0,1,0,0,0,0,1,0,0,1,0,0,0
STICHTING FAIR TRADE,0,1,0,0,0,0,0,0,0,0,0,0,0
IDENTITY VALLEY RESE,0,0,1,0,0,0,0,0,0,0,0,0,0
PRIVANOVA SAS,0,0,1,0,0,0,0,0,0,0,0,0,0
PREMOTEC POLAND SP. ,0,0,1,0,0,0,0,0,0,0,0,0,0
PREMOTEC GMBH,0,0,1,0,0,0,0,0,0,0,0,0,0
ENEA,0,0,1,0,0,0,0,0,0,0,0,0,0
INOSENS DOO NOVI SAD,0,0,1,0,0,0,0,0,0,0,0,0,0
TWINDS,0,0,1,0,0,0,0,0,0,0,0,0,0
EUFIC,0,0,1,0,0,0,1,0,0,0,0,0,0
EUROFINS ANALYTICS F,0,0,0,1,0,0,0,0,0,0,0,0,0
ASAE,0,0,0,1,0,0,0,0,0,0,0,0,0
Food Fraud Preventio,0,0,0,1,0,0,0,0,0,0,0,0,0
NUID UCD,0,0,0,1,0,0,0,0,0,0,0,0,1
ASSOCIATION DIH AGRI,0,0,0,1,0,0,0,0,0,0,0,0,0
AGROKNOW,0,0,0,1,0,0,0,0,0,0,0,1,0
IFOAM EU Group,0,0,0,1,0,0,0,0,0,0,0,0,0
NOFIMA,0,0,0,1,0,0,0,0,0,0,0,0,0
INSME,0,0,0,1,0,0,0,0,0,0,0,0,0
REZOS BRANDS S.A.,0,0,0,1,0,0,0,0,0,0,0,0,0
Foundation FSSC,0,0,0,1,0,0,0,0,0,0,0,0,0
8D | RESEARCH  DESIG,0,0,0,1,0,0,0,0,0,0,0,0,0
FIIN LTD,0,0,0,1,0,0,0,0,0,0,0,0,0
SmartAgroHub S.A.,0,0,0,1,0,1,0,0,0,0,0,0,1
DELOITTE LIMITED,0,0,0,1,0,0,0,0,0,0,0,0,0
LGC,0,0,0,1,0,0,0,0,0,0,0,0,0
Fraude Film Festival,0,0,0,1,0,0,0,0,0,0,0,0,0
SSAFE,0,0,0,1,0,0,0,0,0,0,0,0,0
WENGER-TRAYNER,0,0,0,1,0,0,0,0,0,0,0,0,0
JAVIER DE LA CUEVA -,0,0,0,0,1,0,0,0,0,0,0,0,0
IPMA,0,0,0,0,1,0,0,0,0,0,0,0,0
WRG EUROPE LTD,0,0,0,0,1,0,0,0,0,0,0,0,0
JSI,0,0,0,0,1,0,0,0,0,0,1,0,0
UMF Cluj,0,0,0,0,1,0,0,0,0,0,0,0,0
UNIFI,0,0,0,0,1,0,0,0,0,0,0,0,0
UNIPD,0,0,0,0,1,0,0,0,0,0,0,0,0
EAS,0,0,0,0,1,0,0,0,0,0,0,0,0
MICRUX,0,0,0,0,1,0,0,0,0,0,0,0,0
CETGA,0,0,0,0,1,0,0,0,0,0,0,0,0
RETE EUROPEA DELL'IN,0,0,0,0,1,0,0,0,0,0,0,0,0
ABT,0,0,0,0,1,0,0,0,0,0,0,0,0
BUGENVILA INVESTICIJ,0,0,0,0,1,0,0,0,0,0,0,0,0
TECHNICAL UNIVERSITY,0,0,0,0,1,0,0,1,0,0,0,0,0
BELIT DOO BEOGRAD IT,0,0,0,0,1,0,0,0,0,0,0,0,0
OXY,0,0,0,0,1,0,0,0,0,0,0,0,0
BTU CS,0,0,0,0,1,0,0,0,0,0,0,0,0
DIGITALSMART DOO,0,0,0,0,1,0,0,0,0,0,0,0,0
NORCE,0,0,0,0,1,0,0,0,0,0,0,0,0
EUROFISH,0,0,0,0,1,0,0,0,0,0,0,0,0
PROLONGO,0,0,0,0,0,1,0,0,0,0,0,0,0
BFR,0,0,0,0,0,1,0,0,0,0,0,0,0
UNIONE NAZIONALE CON,0,0,0,0,0,1,0,0,0,0,0,0,1
CREDA,0,0,0,0,0,1,0,0,0,0,0,0,0
GREEK FAMILY FARM,0,0,0,0,0,1,0,0,0,0,0,0,0
E1 DATASCIENCE LTD,0,0,0,0,0,1,0,0,0,0,0,0,0
PHILOSOFISH S.A.,0,0,0,0,0,1,0,0,0,0,0,0,0
FACCSA,0,0,0,0,0,1,0,0,0,0,0,0,0
UGent,0,0,0,0,0,1,0,0,0,0,0,0,0
VTT,0,0,0,0,0,1,0,0,0,0,0,1,1
MANTISPECTRA B.V.,0,0,0,0,0,1,0,0,0,0,0,0,0
AGRITRACK,0,0,0,0,0,1,0,0,0,0,0,0,0
Leibniz-HKI LEIBNIZ on Biology - Hans-Knoll-Institute,0,0,0,0,0,1,0,0,0,0,0,0,0
NCSR Demokritos,0,0,0,0,0,1,0,0,0,0,0,1,0
AGRICULTURAL UNIVERS,0,0,0,0,0,1,0,1,0,0,0,0,0
INSTITUT FRANCAIS DE,0,0,0,0,0,1,0,0,0,0,0,0,0
PACK4FOOD,0,0,0,0,0,1,0,0,0,0,0,0,0
BEST VALUE GIA EPAGG,0,0,0,0,0,1,0,0,0,0,0,0,0
AU,0,0,0,0,0,0,1,0,0,0,0,0,0
INSTITUT ZA NUTRICIO,0,0,0,0,0,0,1,0,0,0,0,0,0
LOBA,0,0,0,0,0,0,1,0,0,0,0,0,0
Zentrum fuer Soziale,0,0,0,0,0,0,1,0,0,0,0,0,0
BEINFLUENCE,0,0,0,0,0,0,1,0,0,0,0,0,0
Maldita.es,0,0,0,0,0,0,1,0,0,0,0,0,0
KSU,0,0,0,0,0,0,0,1,0,0,0,0,0
LMU MUENCHEN,0,0,0,0,0,0,0,1,0,0,0,0,0
OLLSCOIL NA GAILLIMH,0,0,0,0,0,0,0,1,0,0,0,0,0
UIA,0,0,0,0,0,0,0,1,0,0,0,0,0
Transparency Interna,0,0,0,0,0,0,0,1,0,0,0,0,0
HSE,0,0,0,0,0,0,0,1,0,0,0,0,0
BERE ISLAND PROJECTS,0,0,0,0,0,0,0,1,0,0,0,0,0
CU,0,0,0,0,0,0,0,1,0,0,0,0,0
TOULOUSE BUSINESS SC,0,0,0,0,0,0,0,1,0,0,0,0,0
SINTEF,0,0,0,0,0,0,0,1,0,0,0,0,1
Sherkin Island Devel,0,0,0,0,0,0,0,1,0,0,0,0,0
UMEA UNIVERSITET,0,0,0,0,0,0,0,1,0,0,0,0,0
COMMITTEE OF THE DUB,0,0,0,0,0,0,0,1,0,0,0,0,0
Údarás na Gaeltachta,0,0,0,0,0,0,0,1,0,0,0,0,0
AUEB-RC,0,0,0,0,0,0,0,1,0,0,0,0,0
Galway University Ho,0,0,0,0,0,0,0,1,0,0,0,0,0
FISC-Ireland Limited,0,0,0,0,0,0,0,1,0,0,0,0,0
WDC,0,0,0,0,0,0,0,1,0,0,0,0,0
RCA,0,0,0,0,0,0,0,1,0,0,0,0,0
NTNU,0,0,0,0,0,0,0,1,0,0,0,0,0
UCC,0,0,0,0,0,0,0,1,0,0,0,0,0
CHALKIADAKIS ANONYMIBIOTECHNIKON EPICHEIRISEON,0,0,0,0,0,0,0,1,0,0,0,0,0
NATURMAELK,0,0,0,0,0,0,0,1,0,0,0,0,0
SAFE FOOD ADVOCACY E,0,0,0,0,0,0,0,1,0,1,0,0,0
PC,0,0,0,0,0,0,0,1,0,0,0,0,0
UNIVIE,0,0,0,0,0,0,0,1,0,0,0,0,0
FBCD,0,0,0,0,0,0,0,1,0,0,0,0,0
MOCHNIK JERZY PRZEDS,0,0,0,0,0,0,0,1,0,0,0,0,0
WHITE RESEARCH SRL,0,0,0,0,0,0,0,1,0,1,0,0,0
TEAGASC - AGRICULTUR,0,0,0,0,0,0,0,1,0,0,0,0,0
DRAXIS,0,0,0,0,0,0,0,1,0,0,0,0,0
CBS,0,0,0,0,0,0,0,1,0,1,0,0,0
UNIMOS,0,0,0,0,0,0,0,1,0,0,0,0,0
FRUITVEGETABLES EURO,0,0,0,0,0,0,0,1,0,0,0,0,0
FRESHIS,0,0,0,0,0,0,0,1,0,0,0,0,0
PAGE UP,0,0,0,0,0,0,0,0,1,0,0,0,0
ANFACO-CEC,0,0,0,0,0,0,0,0,1,0,0,0,0
TILKAL,0,0,0,0,0,0,0,0,1,0,0,0,0
ETHIC OCEAN,0,0,0,0,0,0,0,0,1,0,0,0,0
SEAentia,0,0,0,0,0,0,0,0,1,0,0,0,0
EUROPROJECT EP,0,0,0,0,0,0,0,0,1,0,0,0,0
LANDLNG AQUACULTURE ,0,0,0,0,0,0,0,0,1,0,0,0,0
WWF PORTUGAL,0,0,0,0,0,0,0,0,1,0,0,0,0
UAveiro,0,0,0,0,0,0,0,0,1,0,0,0,0
IOANNA N.ARGYROU SIMSMENIS EYTHYNIS,0,0,0,0,0,0,0,0,1,0,0,0,0
CCMAR,0,0,0,0,0,0,0,0,1,0,0,0,0
SMARTWATER PLANET SL,0,0,0,0,0,0,0,0,1,0,0,0,0
SUBMON,0,0,0,0,0,0,0,0,1,0,0,0,0
VITAGORA,0,0,0,0,0,0,0,0,1,0,0,0,0
UNIVERSITY OF MACEDO,0,0,0,0,0,0,0,0,0,1,0,0,0
STICHTING VU,0,0,0,0,0,0,0,0,0,1,0,0,0
STATE FOOD AND VETER,0,0,0,0,0,0,0,0,0,1,0,0,0
SIA RIMI BALTIC,0,0,0,0,0,0,0,0,0,1,0,0,0
"ADCOGITO, INSTITUTE ",0,0,0,0,0,0,0,0,0,1,0,0,0
Vilniaus universitet,0,0,0,0,0,0,0,0,0,1,0,0,0
BOKU,0,0,0,0,0,0,0,0,0,1,0,0,0
ZENITH POLAND SP ZOO,0,0,0,0,0,0,0,0,0,1,0,0,0
STOWARZYSZENIE KOMUN,0,0,0,0,0,0,0,0,0,1,0,0,0
UNILU,0,0,0,0,0,0,0,0,0,1,0,0,0
RIJKSUNIVERSITEIT GR,0,0,0,0,0,0,0,0,0,1,0,0,0
GS1 GERMANY GMBH,0,0,0,0,0,0,0,0,0,1,0,0,0
RESEARCH UNIVERSITY ,0,0,0,0,0,0,0,0,0,1,1,0,0
CONSELLO REGULADOR M,0,0,0,0,0,0,0,0,0,0,1,0,0
BIOHELLAS,0,0,0,0,0,0,0,0,0,0,1,0,0
KIWA ESPANA SLU,0,0,0,0,0,0,0,0,0,0,1,0,0
SINERGISE LABORATORY,0,0,0,0,0,0,0,0,0,0,1,0,0
"SINERGISE SOLUTIONS,",0,0,0,0,0,0,0,0,0,0,1,0,0
HELLENIC AGRICULTURA,0,0,0,0,0,0,0,0,0,0,1,0,0
CENTRE FOR RESEARCH ,0,0,0,0,0,0,0,0,0,0,1,0,1
ARISTOTLE UNIVERSITY,0,0,0,0,0,0,0,0,0,0,1,0,0
SEABILITY,0,0,0,0,0,0,0,0,0,0,1,0,0
WIRELESSINFO,0,0,0,0,0,0,0,0,0,0,1,0,0
AGRICULTURAL COOPERALAS,0,0,0,0,0,0,0,0,0,0,1,0,0
OCS,0,0,0,0,0,0,0,0,0,0,1,0,0
NTT DATA EUROPE & LA,0,0,0,0,0,0,0,0,0,0,1,0,0
UNIVEREXPORT EXPORT-,0,0,0,0,0,0,0,0,0,0,1,0,0
SUMAVAPRODUKT S R O,0,0,0,0,0,0,0,0,0,0,1,0,0
eBOS,0,0,0,0,0,0,0,0,0,0,1,0,0
FOUNDATION FOR RESEA,0,0,0,0,0,0,0,0,0,0,0,1,0
UNIVERSITY OFJYVASKY,0,0,0,0,0,0,0,0,0,0,0,1,0
ATC A.E.,0,0,0,0,0,0,0,0,0,0,0,1,0
ARTEVELDEHOGESCHOOL,0,0,0,0,0,0,0,0,0,0,0,1,0
UNINETTUNO,0,0,0,0,0,0,0,0,0,0,0,1,0
UNIVDUN,0,0,0,0,0,0,0,0,0,0,0,1,0
VUB,0,0,0,0,0,0,0,0,0,0,0,1,0
VRT,0,0,0,0,0,0,0,0,0,0,0,1,0
SWARMCHECK SPOLKA Z ,0,0,0,0,0,0,0,0,0,0,0,1,0
CENTER FOR THE STUDY,0,0,0,0,0,0,0,0,0,0,0,1,0
21C CONSULTANCY,0,0,0,0,0,0,0,0,0,0,0,1,0
DEMOCRACY X,0,0,0,0,0,0,0,0,0,0,0,1,0
ENG,0,0,0,0,0,0,0,0,0,0,0,1,0
INSTITUTE OF PHILOSO,0,0,0,0,0,0,0,0,0,0,0,1,0
MICROBION SRL,0,0,0,0,0,0,0,0,0,0,0,1,0
UNIWARSAW,0,0,0,0,0,0,0,0,0,0,0,1,0
HELSINGIN YLIOPISTO,0,0,0,0,0,0,0,0,0,0,0,1,0
FOODSCALE HUB ENTREO,0,0,0,0,0,0,0,0,0,0,0,2,0
ILSI Europe A.I.S.B.,0,0,0,0,0,0,0,0,0,0,0,1,0
AGRI MP LDA,0,0,0,0,0,0,0,0,0,0,0,1,0
The New Fork,0,0,0,0,0,0,0,0,0,0,0,1,0
AI TALENTUM,0,0,0,0,0,0,0,0,0,0,0,1,0
UNIVERSIDADE DE SANT,0,0,0,0,0,0,0,0,0,0,0,1,0
4BMC Sagl,0,0,0,0,0,0,0,0,0,0,0,1,0
THE QUEEN'S UNIVERSI,0,0,0,0,0,0,0,0,0,0,0,1,0
DEVENISH NUTRITION L,0,0,0,0,0,0,0,0,0,0,0,1,0
AGRICOLOUS,0,0,0,0,0,0,0,0,0,0,0,1,0
SAKANA CONSULTANTS S,0,0,0,0,0,0,0,0,0,0,0,1,0
SYMBEEOSIS EY ZHN A.,0,0,0,0,0,0,0,0,0,0,0,1,0
REFRAME.FOOD,0,0,0,0,0,0,0,0,0,0,0,1,1
TOTALCTRL AS,0,0,0,0,0,0,0,0,0,0,0,1,0
AZTI,0,0,0,0,0,0,0,0,0,0,0,1,0
CONSENTIO,0,0,0,0,0,0,0,0,0,0,0,1,0
EFFoST,0,0,0,0,0,0,0,0,0,0,0,1,0
INRAE,0,0,0,0,0,0,0,0,0,0,0,1,1
FOCOS GMBH,0,0,0,0,0,0,0,0,0,0,0,1,0
LABORATORIO IBERICO ,0,0,0,0,0,0,0,0,0,0,0,1,0
SURREY,0,0,0,0,0,0,0,0,0,0,0,1,0
UCSC,0,0,0,0,0,0,0,0,0,0,0,1,0
TU Delft,0,0,0,0,0,0,0,0,0,0,0,1,0
CARDIFF UNIVERSITY,0,0,0,0,0,0,0,0,0,0,0,1,0
CANARY BIT AB,0,0,0,0,0,0,0,0,0,0,0,1,0
INSERM,0,0,0,0,0,0,0,0,0,0,0,1,0
TRI IE,0,0,0,0,0,0,0,0,0,0,0,1,0
Fraunhofer,0,0,0,0,0,0,0,0,0,0,0,1,0
SARGA,0,0,0,0,0,0,0,0,0,0,0,1,0
ODYSSEUS DATA SERVIC,0,0,0,0,0,0,0,0,0,0,0,1,0
UNIVERSIDAD DE MURCI,0,0,0,0,0,0,0,0,0,0,0,1,0
ITA,0,0,0,0,0,0,0,0,0,0,0,1,0
RV,0,0,0,0,0,0,0,0,0,0,0,1,0
ULTRAVIOLET CONSULT ,0,0,0,0,0,0,0,0,0,0,0,1,0
F6S IE,0,0,0,0,0,0,0,0,0,0,0,1,0
CHARITE - UNIVERSITA,0,0,0,0,0,0,0,0,0,0,0,1,0
FTS,0,0,0,0,0,0,0,0,0,0,0,1,0
ZENTRIX LAB LLC,0,0,0,0,0,0,0,0,0,0,0,1,0
UNI KO,0,0,0,0,0,0,0,0,0,0,0,1,0
UNIVERSITY OF EASTER,0,0,0,0,0,0,0,0,0,0,0,1,0
KEUKEN & DE KONING B,0,0,0,0,0,0,0,0,0,0,0,1,0
Microwave Technologi,0,0,0,0,0,0,0,0,0,0,0,1,0
WARSAW UNIVERSITY OF,0,0,0,0,0,0,0,0,0,0,0,1,0
CNRS,0,0,0,0,0,0,0,0,0,0,0,1,0
EBA,0,0,0,0,0,0,0,0,0,0,0,1,0
UNIVERSITAET HOHENHE,0,0,0,0,0,0,0,0,0,0,0,1,0
ESD-SIC BV,0,0,0,0,0,0,0,0,0,0,0,1,0
PROCESS DESIGN CENTE,0,0,0,0,0,0,0,0,0,0,0,1,0
UNIVERSITY OF VETERI,0,0,0,0,0,0,0,0,0,0,0,0,1
SINTEF NORD AS,0,0,0,0,0,0,0,0,0,0,0,0,1
Aprol Umbria,0,0,0,0,0,0,0,0,0,0,0,0,1
ASOCIACION PARA LA P,0,0,0,0,0,0,0,0,0,0,0,0,1
EURONEWS,0,0,0,0,0,0,0,0,0,0,0,0,1
BORDEAUX SCIENCES AG,0,0,0,0,0,0,0,0,0,0,0,0,1
MRI,0,0,0,0,0,0,0,0,0,0,0,0,1
DIADIKASIA BUSINESS ,0,0,0,0,0,0,0,0,0,0,0,0,1
NATIONAL TECHNICAL U,0,0,0,0,0,0,0,0,0,0,0,0,1
INESC TEC,0,0,0,0,0,0,0,0,0,0,0,0,1
SYNELIXIS,0,0,0,0,0,0,0,0,0,0,0,0,1
ADVID,0,0,0,0,0,0,0,0,0,0,0,0,1
WELLICS LTD,0,0,0,0,0,0,0,0,0,0,0,0,1
THE NORWEGIAN DIRECT,0,0,0,0,0,0,0,0,0,0,0,0,1
SLOVENE CONSUMERS AS,0,0,0,0,0,0,0,0,0,0,0,0,1
FIBL RESEARCH INSTIT,0,0,0,0,0,0,0,0,0,0,0,0,1
A. ESPERSEN AS,0,0,0,0,0,0,0,0,0,0,0,0,1
UBITECH LIMITED,0,0,0,0,0,0,0,0,0,0,0,0,1
CNR,0,0,0,0,0,0,0,0,0,0,0,0,1
MITERA GMBH,0,0,0,0,0,0,0,0,0,0,0,0,1
UBER,0,0,0,0,0,0,0,0,0,0,0,0,1
IGP MIEL ASTURIAS,0,0,0,0,0,0,0,0,0,0,0,0,1
METRO,0,0,0,0,0,0,0,0,0,0,0,0,1
RESILIENCE GUARD,0,0,0,0,0,0,0,0,0,0,0,0,1
UNIVERSITAT BAYREUTH,0,0,0,0,0,0,0,0,0,0,0,0,1
BULGARIAN WINE EXPOR,0,0,0,0,0,0,0,0,0,0,0,0,1
HAME VOCATIONAL INST,0,0,0,0,0,0,0,0,0,0,0,0,1
HERMES AS,0,0,0,0,0,0,0,0,0,0,0,0,1
DECO,0,0,0,0,0,0,0,0,0,0,0,0,1
IFA,0,0,0,0,0,0,0,0,0,0,0,0,1
UPC,0,0,0,0,0,0,0,0,0,0,0,0,1
JRC,0,0,0,0,0,0,0,0,0,0,0,0,1
